date,season,competition,round,neutral,home_team,home_league,away_team,away_league,home_score,away_score
2014-09-16,2014-15,ucl,Group C,False,AS Monaco FC,ligue_1,Bayer 04 Leverkusen,bundesliga,1,0
2014-09-16,2014-15,ucl,Group D,False,Borussia Dortmund,bundesliga,Arsenal FC,epl,2,0
2014-09-16,2014-15,ucl,Group D,False,Galatasaray,,RSC Anderlecht,,1,1
2014-09-16,2014-15,ucl,Group A,False,Juventus FC,serie_a,Malmö FF,,2,0
2014-09-16,2014-15,ucl,Group B,False,Liverpool FC,epl,PFC Ludogorets Razgrad,,2,1
2014-09-16,2014-15,ucl,Group A,False,Olympiakos Piraeus,,Club Atlético de Madrid,la_liga,3,2
2014-09-16,2014-15,ucl,Group B,False,Real Madrid CF,la_liga,FC Basel 1893,,5,1
2014-09-16,2014-15,ucl,Group C,False,SL Benfica,,Zenit St. Petersburg,,0,2
2014-09-17,2014-15,ucl,Group F,False,AFC Ajax,,Paris Saint-Germain FC,ligue_1,1,1
2014-09-17,2014-15,ucl,Group E,False,AS Roma,serie_a,CSKA Moskva,,5,1
2014-09-17,2014-15,ucl,Group H,False,Athletic Club,la_liga,Shakhtar Donetsk,,0,0
2014-09-17,2014-15,ucl,Group G,False,Chelsea FC,epl,FC Schalke 04,bundesliga,1,1
2014-09-17,2014-15,ucl,Group F,False,FC Barcelona,la_liga,APOEL Nikosia,,1,0
2014-09-17,2014-15,ucl,Group E,False,FC Bayern München,bundesliga,Manchester City FC,epl,1,0
2014-09-17,2014-15,ucl,Group H,False,FC Porto,,BATE Borisov,,6,0
2014-09-17,2014-15,ucl,Group G,False,NK Maribor,,Sporting CP,,1,1
2014-09-30,2014-15,ucl,Group F,False,APOEL Nikosia,,AFC Ajax,,1,1
2014-09-30,2014-15,ucl,Group H,False,BATE Borisov,,Athletic Club,la_liga,2,1
2014-09-30,2014-15,ucl,Group E,False,CSKA Moskva,,FC Bayern München,bundesliga,0,1
