league,model,log_loss,accuracy
all,full,1.0207118530309853,0.4870612730517549
all,elo_only,1.0237957776239905,
all,frequency,1.0765893459675682,
tier1,full,0.991088768420169,
tier2,full,1.0529284520349254,
epl,full,1.0132857398995194,0.4921052631578947
championship,full,1.0499136451494202,0.45960502692998206
bundesliga,full,0.9958245427728109,0.5179738562091504
bundesliga_2,full,1.0623331801443772,0.454320987654321
la_liga,full,0.9763706066009579,0.5368421052631579
la_liga_2,full,1.049094160941176,0.4537671232876712
serie_a,full,0.9866913229782941,0.5118421052631579
serie_b,full,1.0605409985071212,0.4267241379310345
ligue_1,full,0.9825124497463597,0.5351882160392799
ligue_2,full,1.044612038860105,0.4786729857819905
