team,player,overall
Portugal,Cristiano Ronaldo,94
Argentina,L. Messi,93
Brazil,Neymar,92
Germany,M. Neuer,92
Uruguay,L. Suárez,92
Poland,R. Lewandowski,91
Spain,De Gea,90
Belgium,E. Hazard,90
Spain,Sergio Ramos,90
Argentina,G. Higuaín,90
Germany,T. Kroos,90
Belgium,T. Courtois,89
Belgium,K. De Bruyne,89
Italy,G. Buffon,89
Italy,G. Chiellini,89
Argentina,S. Agüero,89
Wales,G. Bale,89
Croatia,L. Modrić,89
Chile,A. Sánchez,89
Slovenia,J. Oblak,88
Argentina,P. Dybala,88
France,A. Griezmann,88
Spain,Thiago,88
Netherlands,A. Robben,88
Sweden,Z. Ibrahimović,88
Brazil,Thiago Silva,88
France,H. Lloris,88
Germany,M. Özil,88
Germany,M. Hummels,88
Uruguay,D. Godín,88
Germany,J. Boateng,88
Italy,L. Bonucci,88
Gabon,P. Aubameyang,88
France,P. Pogba,87
Denmark,C. Eriksen,87
Italy,M. Verratti,87
France,N. Kanté,87
Spain,Piqué,87
Slovenia,S. Handanovič,87
Spain,David Silva,87
Croatia,I. Rakitić,87
Slovakia,M. Hamšík,87
Brazil,Marcelo,87
Uruguay,E. Cavani,87
Chile,A. Vidal,87
Belgium,R. Lukaku,86
Spain,Isco,86
England,H. Kane,86
Brazil,Coutinho,86
Colombia,J. Rodríguez,86
Brazil,Alex Sandro,86
Austria,D. Alaba,86
Belgium,T. Alderweireld,86
Czech Republic,P. Čech,86
Portugal,Pepe,86
France,F. Ribéry,86
Spain,Cesc Fàbregas,86
France,K. Benzema,86
Brazil,Miranda,86
Greece,Sokratis,86
Belgium,D. Mertens,86
Spain,Javi Martínez,86
Belgium,R. Nainggolan,86
Spain,Diego Costa,86
Brazil,David Luiz,86
Germany,M. Reus,86
Spain,Sergio Busquets,86
Germany,T. Müller,86
France,R. Varane,85
Belgium,Y. Carrasco,85
Germany,M. ter Stegen,85
Brazil,Casemiro,85
Germany,B. Leno,85
France,A. Lacazette,85
Spain,Azpilicueta,85
Germany,I. Gündoğan,85
Bosnia and Herzegovina,M. Pjanić,85
Italy,L. Insigne,85
Italy,A. Barzagli,85
Belgium,V. Kompany,85
Brazil,Filipe Luís,85
France,S. Ruffier,85
France,B. Matuidi,85
Belgium,J. Vertonghen,85
Italy,C. Marchisio,85
